_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,BARCODE,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
677838,49,PS-00638,207,Galloway Rd,Galloway Rd,East,Lawrence Ave E,North,10525,24,,Corral,Existing,K4310525,0,329245.315,4847423.865,-79.19637757,43.766370887,"{u'type': u'Point', u'coordinates': (-79.1963775649, 43.7663708894)}"
677839,50,PS-00640,250,Front St W,Front St W,North,John St,East,10526,10,Toronto Entertainment District,Corral,Existing,K2010526,0,313798.077,4833802.204,-79.388466502,43.644107455,"{u'type': u'Point', u'coordinates': (-79.3884664983, 43.6441074557)}"
677840,51,PS-00646,1547,Bayview Ave,Bayview Ave,East,Belsize Dr,North,10533,15,Bayview Leaside,Corral,Existing,K2610533,0,314883.605,4840599.118,-79.37488408600001,43.705274605,"{u'type': u'Point', u'coordinates': (-79.3748840809, 43.7052746076)}"
677841,52,PS-00647,2559,Yonge St,Sherwood Ave,North,Yonge St,East,10466,15,Uptown Yonge,Corral,Existing,K2510466,0,312898.63399999996,4841523.459,-79.399499371,43.713619138,"{u'type': u'Point', u'coordinates': (-79.3994993721, 43.7136191407)}"
677842,53,PS-00538,391,Yonge St,Gerrard St E,South,Yonge St,East,10331,13,Downtown Yonge,Corral,Existing,K2710331,0,314340.744,4835467.228,-79.38171060399999,43.659088141000005,"{u'type': u'Point', u'coordinates': (-79.381710602, 43.6590881425)}"
677843,54,PS-00540,1110,Bay St,Charles St W,South,Bay St,West,10333,11,Bloor-Yorkville,Corral,Existing,K2710333,0,313746.12899999996,4836468.398,-79.389066231,43.668107389,"{u'type': u'Point', u'coordinates': (-79.3890662344, 43.6681073884)}"
677844,89,PS-01150,1450,Lawrence Ave E,Lawrence Ave E,North,Victoria Park Ave,West,11875,16,,Corral,Existing,K3411875,0,320086.50399999996,4844715.58,-79.310210606,43.742238798,"{u'type': u'Point', u'coordinates': (-79.3102106093, 43.742238797)}"
677845,90,PS-01152,175,Warden Ave,Warden Ave,West,Bamburgh Crcl,North,11877,22,,Corral,Existing,K3911877,0,318987.027,4852435.571,-79.323656988,43.811749196,"{u'type': u'Point', u'coordinates': (-79.3236569917, 43.8117492014)}"
677846,91,PS-01155,76,Olsen Dr,Don Mills Rd,East,Graydon Hall Dr,South,11889,16,,Corral,Existing,K3411889,0,317119.923,4846848.899,-79.346993105,43.761496386000005,"{u'type': u'Point', u'coordinates': (-79.3469930989, 43.7614963839)}"
677847,92,PS-01167,5001,Yonge St,Yonge St,East,Hollywood Ave,North,11847,18,,Corral,Existing,K2311847,0,311893.747,4847337.288,-79.411892871,43.765960916000004,"{u'type': u'Point', u'coordinates': (-79.4118928743, 43.7659609164)}"
