_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,STYLE,BARCODE,POSTERBOARD,POSTERBOARDSTATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
659065,8284,TR-02994,3630,Lawrence Ave E,Lawrence Ave E,North,Greenholm Crct,East,T5272,24,,T,Existing,Provincial,S3805272,Yes,Existing,0,327118.847,4846764.296,-79.222816403,43.76050117,"{u'type': u'Point', u'coordinates': (-79.2228164014, 43.7605011678)}"
659066,8287,TR-01728,1825,Finch Ave W,Driftwood Ave,East,Finch Ave W,South,T1999,7,,V,Temporarily Removed,Provincial,0TS11654,Yes,Existing,0,303736.425,4846437.526000001,-79.513208248,43.757895186000006,"{u'type': u'Point', u'coordinates': (-79.5132082452, 43.7578951885)}"
659067,8302,TR-06710,71,Sheffield St,Sheffield St,East,Hafis Rd,North,T9875,5,,LKN,Existing,Provincial,,Yes,Existing,0,307148.065,4840699.904,-79.470865081,43.706246571,"{u'type': u'Point', u'coordinates': (-79.4708650758, 43.706246571)}"
659068,8309,TR-03250,,,Warden Ave,East,Finch Ave E,South,T8565,22,,V,Existing,Provincial,00TS9818,Yes,Existing,0,319646.87100000004,4850753.563,-79.31550185100001,43.796596373,"{u'type': u'Point', u'coordinates': (-79.3155018533, 43.796596378)}"
659069,8311,TR-02842,645,Warden Ave,Warden Ave,East,Mack Ave,North,T1625,20,,V,Existing,Provincial,0TS12148,Yes,Existing,0,322862.80199999997,4840036.166,-79.275898806,43.700056115,"{u'type': u'Point', u'coordinates': (-79.2758988114, 43.7000561159)}"
659070,8315,TR-04245,123,Bellamy Rd N,Bellamy Rd N,South,Cedar Brae Blvd,East,T368,21,,LKN,Existing,Provincial,S3800368,Yes,Existing,0,326493.606,4844704.72,-79.23066449699999,43.741981283,"{u'type': u'Point', u'coordinates': (-79.2306644953, 43.741981281)}"
659071,8317,TR-04266,,,Martin Grove Rd,West,Brunello Gt,North,T9724,1,,LKN,Existing,Provincial,S0109724,Yes,Existing,0,296597.65,4846244.038,-79.601859689,43.756108943,"{u'type': u'Point', u'coordinates': (-79.6018596943, 43.7561089413)}"
659072,8318,TR-04273,20,Redgrave Dr,Waterbury Dr,East,Redgrave Dr,North,T6159,1,,LKN,Existing,Provincial,S0406159,Yes,Existing,0,299167.106,4838147.447,-79.569866569,43.683253522,"{u'type': u'Point', u'coordinates': (-79.5698665693, 43.6832535241)}"
659073,8324,TR-04322,5600,Finch Ave E,Finch Ave E,North,Markham Rd,East,T2562,23,,LKN,Existing,Provincial,S4202562,Yes,Existing,0,325718.716,4852680.469,-79.239974069,43.813793796000006,"{u'type': u'Point', u'coordinates': (-79.2399740717, 43.8137937967)}"
659074,8325,TR-04330,,,Tapscott Rd,East,Lighthall Cres,North,T4662,23,,LKN,Existing,Provincial,S4204662,Yes,Existing,0,326074.375,4852362.206,-79.23556581300001,43.81091896,"{u'type': u'Point', u'coordinates': (-79.2355658097, 43.8109189646)}"
659075,8326,TR-04337,5745,Finch Ave E,Finch Ave E,South,Baldoon Rd,West,T2484,23,,LKN,Existing,Provincial,S4202484,Yes,Existing,0,326312.468,4852828.826,-79.23258767,43.815112128,"{u'type': u'Point', u'coordinates': (-79.2325876753, 43.8151121284)}"
659076,8328,TR-04346,,,McLevin Ave,North,Tapscott Rd,West,T9594,23,,LKN,Existing,Provincial,S4209594,Yes,Existing,0,326475.018,4851543.687,-79.230619103,43.803539832,"{u'type': u'Point', u'coordinates': (-79.2306191015, 43.8035398334)}"
659077,8339,TR-03055,2790,Bathurst St,Bathurst St,West,Glencairn Ave,North,T144,8,,LK,Existing,Provincial,0TS12540,Yes,Existing,0,310578.357,4841399.603,-79.428294335,43.712525968,"{u'type': u'Point', u'coordinates': (-79.4282943324, 43.7125259711)}"
659078,8343,TR-00135,592,Cummer Ave,Cummer Ave,North,Beardmore Cres,West,T1809,17,,J,Existing,Provincial,0TS11014,Yes,Existing,0,314074.86199999996,4850499.345,-79.384747957,43.794398933000004,"{u'type': u'Point', u'coordinates': (-79.3847479564, 43.794398934)}"
659079,8344,TR-00801,1046,Kennedy Rd,Kennedy Rd,West,Flora Dr,North,T4084,21,,T,Existing,Provincial,S3704084,Yes,Existing,0,322935.892,4845422.853999999,-79.274810455,43.748540848999994,"{u'type': u'Point', u'coordinates': (-79.2748104543, 43.748540855)}"
659080,8345,TR-00824,1260,Dundas St W,Dundas St W,North,Dovercourt Rd,East,T2159,9,Little Portugal,R,Existing,Provincial,00TS5871,Yes,Existing,0,310884.973,4834398.7069999995,-79.424568417,43.649506317,"{u'type': u'Point', u'coordinates': (-79.4245684222, 43.6495063203)}"
